PG,SG,SF,PF,C,G,F,UTIL,Date,Prediction,Score
Devonte Graham,Rodney Hood,Josh Hart,Frank Kaminsky,Andre Drummond,Derrick Rose,Brandon Ingram,Damian Lillard,20191028,309,277.5
Delon Wright,Danny Green,Dorian Finney-Smith,Maxi Kleber,Dwight Howard,Trae Young,LeBron James,Luka Doncic,20191029,287.75,178.5
Bryn Forbes,Josh Hart,Brandon Ingram,Montrezl Harrell,Bam Adebayo,Kendrick Nunn,LaMarcus Aldridge,Dejounte Murray,20191031,297.5,203.5
George Hill,Spencer Dinwiddie,Bojan Bogdanovic,PJ Tucker,Tristan Thompson,Kyrie Irving,Bobby Portis,Russell Westbrook,20191101,321.25,242.75
Damian Lillard,CJ McCollum,Damion Lee,Dario Saric,Aron Baynes,Kyrie Irving,OG Anunoby,Cody Zeller,20191102,313,247.75
Isaiah Thomas,Langston Galloway,Brandon Ingram,Moritz Wagner,Aron Baynes,Damian Lillard,Al Horford,Andre Drummond,20191104,325,323.25
Patty Mills,Justin Holiday,Will Barton,Meyers Leonard,Anthony Davis,Tyler Herro,LeBron James,Kemba Walker,20191105,312,245
Donte DiVincenzo,Furkan Korkmaz,Marcus Morris,Maxi Kleber,Andre Drummond,Isaiah Thomas,Al Horford,Luka Doncic,20191106,326.5,200.25
Patty Mills,Patrick Beverley,Jaylen Brown,Montrezl Harrell,Aron Baynes,Jimmy Butler,Gordon Hayward,Damian Lillard,20191107,318.5,256.5
Anfernee Simons,Garrett Temple,Furkan Korkmaz,Giannis Antetokounmpo,Al Horford,Will Barton,Marcus Morris,LeBron James,20191108,337.5,272.75
Alec Burks,Zach LaVine,Marvin Williams,Brandon Ingram,Nerlens Noel,DAngelo Russell,Hamidou Diallo,Luka Doncic,20191109,307.5,242.25
Avery Bradley,Dwayne Bacon,TJ Warren,Doug McDermott,Domantas Sabonis,Eric Bledsoe,Jonathan Isaac,Giannis Antetokounmpo,20191110,302.25,263.75
Alec Burks,DAngelo Russell,Jarrett Culver,Gorgui Dieng,Jahlil Okafor,James Harden,Montrezl Harrell,Clint Capela,20191111,336.75,280
Langston Galloway,Frank Ntilikina,Harrison Barnes,Jabari Parker,Hassan Whiteside,Luke Kennard,Domantas Sabonis,Jamal Murray,20191112,314.25,239
Kris Dunn,Luka Doncic,Chandler Hutchison,JaMychal Green,DeAndre Jordan,Spencer Dinwiddie,Jabari Parker,Trae Young,20191114,318.75,255
TJ McConnell,Evan Fournier,Bogdan Bogdanovic,Goga Bitadze,LaMarcus Aldridge,Luke Kennard,Domantas Sabonis,Nikola Vucevic,20191115,313.25,239.75
Collin Sexton,ETwaun Moore,JJ Redick,Paul Millsap,Tristan Thompson,Bradley Beal,Bogdan Bogdanovic,Nikola Vucevic,20191117,306.25,312.5
Ricky Rubio,ETwaun Moore,Dario Saric,Nemanja Bjelica,Nerlens Noel,JJ Redick,Brandon Ingram,LeBron James,20191119,298.25,227.75
Monte Morris,Coby White,Davis Bertans,Moritz Wagner,Damian Jones,Bradley Beal,Andrew Wiggins,Luka Doncic,20191120,328,264.75
Nickeil Alexander-Walker,JJ Redick,Donte DiVincenzo,Nicolo Melli,Brook Lopez,CJ McCollum,Brandon Ingram,Giannis Antetokounmpo,20191121,294.25,310.25
Jamal Murray,Mikal Bridges,Davis Bertans,Montrezl Harrell,Julius Randle,JJ Redick,Marcus Morris,Jarrett Allen,20191124,297.75,258
Jalen Brunson,Jamal Murray,Dorian Finney-Smith,Davis Bertans,Paul Millsap,Will Barton,Montrezl Harrell,Luka Doncic,20191126,299,200.75
Alec Burks,Zach LaVine,Glenn Robinson III,Dario Saric,Montrezl Harrell,Trae Young,Jabari Parker,Bismack Biyombo,20191129,325,246
George Hill,Jeremy Lamb,Jabari Parker,Ersan Ilyasova,Bismack Biyombo,Trae Young,PJ Washington,Giannis Antetokounmpo,20191130,297.5,205.75
Shabazz Napier,Tyler Herro,Jaylen Brown,Bojan Bogdanovic,Omari Spellman,DeMar DeRozan,Anthony Davis,Jarrett Allen,20191201,302,194.75
George Hill,Tomas Satoransky,Miles Bridges,PJ Washington,Joel Embiid,Alec Burks,Dario Saric,Zach LaVine,20191202,297.25,218.5
Jordan McRae,Rodney Hood,Evan Fournier,Carmelo Anthony,JaVale McGee,Jrue Holiday,Anthony Davis,Clint Capela,20191203,303.5,234.75
Terence Davis,Norman Powell,Ben Simmons,Chris Boucher,Clint Capela,Fred VanVleet,Mason Plumlee,James Harden,20191205,303.75,239.25
Monte Morris,Jarrett Culver,Jaylen Brown,Mason Plumlee,Hassan Whiteside,Kemba Walker,Jimmy Butler,Jayson Tatum,20191206,315.5,265.5
DeAnthony Melton,Ben McLemore,Cedi Osman,PJ Tucker,Jonas Valanciunas,Dennis Smith Jr,Domantas Sabonis,James Harden,20191207,317.75,200.5
Monte Morris,Fred VanVleet,Norman Powell,JaMychal Green,Hassan Whiteside,Devonte Graham,Ben Simmons,Steven Adams,20191208,310.25,184.5
Terence Davis,Langston Galloway,Gordon Hayward,Jayson Tatum,Jonas Valanciunas,Josh Hart,Giannis Antetokounmpo,Russell Westbrook,20191209,315.75,275.75
Ben Simmons,Troy Brown Jr,Josh Richardson,Mason Plumlee,Alex Len,Devonte Graham,Davis Bertans,Hassan Whiteside,20191210,294.75,239.5
Ricky Rubio,Josh Hart,DeAndre Hunter,Gordon Hayward,Alex Len,Devin Booker,Ben McLemore,Russell Westbrook,20191211,330.25,210
Seth Curry,Jordan Clarkson,Mike Scott,Jayson Tatum,Hassan Whiteside,Damian Lillard,Ben Simmons,Kemba Walker,20191212,284.5,304.5
Austin Rivers,Matisse Thybulle,Joe Ingles,Derrick Favors,Domantas Sabonis,Rajon Rondo,Jimmy Butler,Anthony Davis,20191213,330.75,197.75
Will Barton,Denzel Valentine,Jordan Clarkson,OG Anunoby,PJ Tucker,Jimmy Butler,Davis Bertans,Paul George,20191214,303.25,208.25
Trey Burke,Cam Reddish,DeAndre Hunter,Derrick Favors,Nikola Jokic,Will Barton,Anthony Davis,Devonte Graham,20191215,306,240
Delon Wright,Seth Curry,Denzel Valentine,Thaddeus Young,Marc Gasol,James Harden,Kevin Love,Hassan Whiteside,20191216,324.5,231
Aaron Holiday,Justin Holiday,Joe Ingles,Marcus Morris,DeAndre Jordan,Buddy Hield,Julius Randle,LeBron James,20191217,302.25,233.25
Jeff Teague,Seth Curry,Carmelo Anthony,Cody Zeller,Bam Adebayo,Kemba Walker,Norman Powell,Marc Gasol,20191218,325,230.75
Patrick Beverley,Kyle Korver,Joe Ingles,Ersan Ilyasova,Clint Capela,LeBron James,LaMarcus Aldridge,Rudy Gobert,20191219,294,270.75
DJ Augustin,Seth Curry,Dillon Brooks,Frank Kaminsky,Nikola Jokic,Dennis Schroder,Carmelo Anthony,Kemba Walker,20191220,328.75,222.5
Derrick White,CJ McCollum,Tomas Satoransky,Cody Zeller,Lauri Markkanen,Isaiah Thomas,LaMarcus Aldridge,Bradley Beal,20191221,322.25,267.5
TJ McConnell,Dennis Schroder,Kyle Kuzma,Giannis Antetokounmpo,Myles Turner,Terry Rozier,Danny Green,Nikola Jokic,20191222,309.5,249.5
CJ McCollum,Bradley Beal,Dillon Brooks,Skal Labissiere,Gorgui Dieng,Damian Lillard,Bobby Portis,Hassan Whiteside,20191223,329,247
George Hill,Alec Burks,OG Anunoby,Brandon Ingram,Brook Lopez,DAngelo Russell,Jaylen Brown,Jayson Tatum,20191225,316.75,238.75
Shabazz Napier,Seth Curry,Dorian Finney-Smith,LaMarcus Aldridge,Hassan Whiteside,Spencer Dinwiddie,Kristaps Porzingis,Dennis Schroder,20191226,323.25,199.25
Alec Burks,Furkan Korkmaz,Damion Lee,Aaron Gordon,Steven Adams,Shai Gilgeous-Alexander,Tobias Harris,Ben Simmons,20191227,311,275.75
Malik Beasley,Tyus Jones,LeBron James,Kyle Kuzma,Derrick Favors,Delon Wright,Luka Doncic,Terry Rozier,20191229,310.25,217.25
Tomas Satoransky,Jordan Clarkson,Troy Brown Jr,Ersan Ilyasova,Bam Adebayo,Eric Bledsoe,Joe Ingles,John Collins,20191230,303,218.75
Darius Garland,Delon Wright,Damion Lee,Danilo Gallinari,Steven Adams,James Harden,Kevin Love,John Henson,20191231,307.25,219.75
Jordan McRae,Pat Connaughton,Khris Middleton,Ersan Ilyasova,Anzejs Pasecniks,Damian Lillard,Julius Randle,Devin Booker,20200101,322.25,247.25
Tyus Jones,Joe Ingles,Rudy Gay,Robert Covington,LaMarcus Aldridge,Donovan Mitchell,DeMar DeRozan,DeAaron Fox,20200102,296.75,284
DJ Augustin,Jrue Holiday,Brandon Ingram,Isaiah Hartenstein,Julius Randle,Devin Booker,Eric Gordon,Lonzo Ball,20200103,326.75,236.5
DJ Augustin,Garrison Mathews,DeMar DeRozan,Ersan Ilyasova,LaMarcus Aldridge,Jordan McRae,Domantas Sabonis,DeAaron Fox,20200104,315.75,214
Darius Garland,Collin Sexton,Jae Crowder,Robert Covington,Aron Baynes,Devin Booker,Andrew Wiggins,Hassan Whiteside,20200105,307.75,244
Kevin Huerter,ETwaun Moore,Buddy Hield,PJ Washington,Alex Len,Lonzo Ball,Wendell Carter Jr,Ben Simmons,20200106,321,247.5
Frank Ntilikina,Shabazz Napier,Trevor Ariza,Jae Crowder,Julius Randle,Darius Garland,LeBron James,Hassan Whiteside,20200107,317.5,267.5
Seth Curry,Kevin Huerter,TJ Warren,Isaiah Hartenstein,Omari Spellman,Jamal Murray,Domantas Sabonis,Trae Young,20200108,311.5,241
Damian Lillard,Shabazz Napier,Robert Covington,Noah Vonleh,Steven Adams,Ben Simmons,Naz Reid,Clint Capela,20200109,303.75,203.5
Terry Rozier,Danny Green,Jae Crowder,Meyers Leonard,Omari Spellman,Zach LaVine,Troy Brown Jr,Trae Young,20200110,321.5,241.5
Nickeil Alexander-Walker,Zach LaVine,Sekou Doumbouya,Danilo Gallinari,Jaxson Hayes,Ben Simmons,Brandon Ingram,Steven Adams,20200111,317.75,239
Patrick Beverley,Dillon Brooks,DeMar DeRozan,Montrezl Harrell,Nikola Jokic,Goran Dragic,Omari Spellman,DAngelo Russell,20200112,318,264.5
Chris Paul,Jarrett Culver,Trevor Ariza,Kyle Kuzma,Jaxson Hayes,LeBron James,Kevin Love,Tristan Thompson,20200113,325.25,204.5
Ja Morant,DAngelo Russell,Glenn Robinson III,Rodions Kurucs,Tristan Thompson,Emmanuel Mudiay,Khris Middleton,Clint Capela,20200114,303.75,205.5
Markelle Fultz,RJ Barrett,Wes Iwundu,Jayson Tatum,Julius Randle,Patrick Beverley,Kawhi Leonard,Taj Gibson,20200116,299,215.5
Terence Davis,CJ McCollum,OG Anunoby,Carmelo Anthony,Dwight Powell,Shai Gilgeous-Alexander,DeMar DeRozan,Jonas Valanciunas,20200117,317.5,261.25
Donte DiVincenzo,Shai Gilgeous-Alexander,OG Anunoby,Julius Randle,Dwight Howard,Lonzo Ball,Joe Ingles,DeAaron Fox,20200118,343,267
Patty Mills,Tyler Herro,TJ Warren,Mason Plumlee,Nikola Jokic,Kendrick Nunn,DeMar DeRozan,Malcolm Brogdon,20200119,273.25,255
Rajon Rondo,Jordan Poole,Joe Ingles,Deandre Ayton,Rudy Gobert,Marcus Smart,DeMar DeRozan,Lonzo Ball,20200120,344.25,254.75
Rajon Rondo,Marcus Smart,Norman Powell,Rondae Hollis-Jefferson,JaVale McGee,Fred VanVleet,Ben Simmons,Russell Westbrook,20200122,337.5,253.75
Rajon Rondo,Collin Sexton,Gary Trent Jr,Kyle Kuzma,Hassan Whiteside,Kyrie Irving,Tim Hardaway Jr,Damian Lillard,20200123,286.25,272
Derrick White,Marcus Smart,Kent Bazemore,DeAndre Hunter,Bam Adebayo,Lonzo Ball,Eric Paschall,Russell Westbrook,20200124,313.75,254.25
Shabazz Napier,Josh Okogie,Alfonzo McKinnie,Thaddeus Young,Karl-Anthony Towns,Dennis Schroder,Andrew Wiggins,Ben Simmons,20200125,289.25,287.75
Derrick White,Josh Hart,Damyean Dotson,Jerami Grant,Ian Mahinmi,Jaylen Brown,Kawhi Leonard,Russell Westbrook,20200126,329.75,261
Michael Carter-Williams,Derrick White,Tim Hardaway Jr,PJ Tucker,Nerlens Noel,Luka Doncic,Buddy Hield,Rudy Gobert,20200127,297.5,242
Jalen Brunson,Josh Hart,Bradley Beal,PJ Washington,Boban Marjanovic,Alec Burks,Ben Simmons,Trae Young,20200128,327.5,213.25
Reggie Jackson,Gary Trent Jr,Kris Dunn,Georges Niang,Christian Wood,Russell Westbrook,Eric Gordon,Damian Lillard,20200129,321.75,277.5
Patrick Beverley,Cam Reddish,Gordon Hayward,DeAndre Hunter,Montrezl Harrell,Donovan Mitchell,Jerami Grant,Kemba Walker,20200130,304.25,223.5
Austin Rivers,Devin Booker,Khris Middleton,Thon Maker,Jonas Valanciunas,Tomas Satoransky,Christian Wood,Damian Lillard,20200131,336,274.25
TJ McConnell,Kendrick Nunn,Vince Carter,Khem Birch,Hassan Whiteside,Kyrie Irving,Draymond Green,Damian Lillard,20200201,333,248.5
Austin Rivers,Jrue Holiday,Eric Gordon,Luke Kornet,Serge Ibaka,Tomas Satoransky,Khris Middleton,Russell Westbrook,20200202,314,221.5
Patty Mills,Landry Shamet,Draymond Green,Vince Carter,Jakob Poeltl,Bradley Beal,Kawhi Leonard,Cody Zeller,20200203,316.25,246
Eric Bledsoe,Pat Connaughton,Cody Martin,Miles Bridges,Hassan Whiteside,Damian Lillard,Khris Middleton,Cody Zeller,20200204,339,227.75
Jordan Clarkson,Torrey Craig,DeAndre Hunter,Dorian Finney-Smith,Jonas Valanciunas,Chris Paul,Kawhi Leonard,Dennis Schroder,20200205,313.5,231.5
Michael Carter-Williams,Pat Connaughton,Kyle Kuzma,Aaron Gordon,Jahlil Okafor,Elfrid Payton,Giannis Antetokounmpo,Damian Lillard,20200206,324.75,242
Tyus Jones,Terence Davis,Mikal Bridges,Jayson Tatum,Deandre Ayton,Shabazz Napier,Kristaps Porzingis,Dennis Schroder,20200207,317.5,260.75
TJ McConnell,Malik Beasley,Justin Holiday,Miles Bridges,Nikola Jokic,Terence Davis,LeBron James,Elfrid Payton,20200208,318.75,264.25
Tyus Jones,Bradley Beal,Gary Trent Jr,Glenn Robinson III,Andre Drummond,Mike Conley,Davis Bertans,Elfrid Payton,20200209,314.25,255
Reggie Jackson,Malik Beasley,Caris LeVert,Christian Wood,Dewayne Dedmon,Seth Curry,Jerami Grant,Nikola Jokic,20200210,322.5,203.5
Dejounte Murray,Alec Burks,Glenn Robinson III,Jayson Tatum,Joel Embiid,Furkan Korkmaz,Gary Trent Jr,Damian Lillard,20200211,326.75,189
Jordan McLaughlin,Jordan Clarkson,Tim Hardaway Jr,Jae Crowder,Dewayne Dedmon,Kyle Lowry,Buddy Hield,Andre Drummond,20200212,324.75,261.75
Lonzo Ball,JJ Redick,Danilo Gallinari,Nicolo Melli,Derrick Favors,Chris Paul,Kawhi Leonard,Jrue Holiday,20200213,282.25,285.25
Jordan Poole,Spencer Dinwiddie,Kent Bazemore,Jae Crowder,DeAndre Jordan,Devonte Graham,Giannis Antetokounmpo,Marquese Chriss,20200220,322.5,264
Dejounte Murray,Jordan Clarkson,Trevor Ariza,Jayson Tatum,Nikola Jokic,Seth Curry,JJ Redick,Jrue Holiday,20200221,343.25,280
Tomas Satoransky,Jordan Clarkson,Furkan Korkmaz,Jae Crowder,DeAndre Jordan,Mike Conley,Giannis Antetokounmpo,Zach LaVine,20200222,333.25,249.75
Derrick White,Will Barton,TJ Warren,Paul Millsap,Steven Adams,Dejounte Murray,LaMarcus Aldridge,Pascal Siakam,20200223,322.25,190.5
Mike Conley,Cam Reddish,Josh Jackson,Brandon Clarke,Montrezl Harrell,Malik Beasley,Giannis Antetokounmpo,Kristaps Porzingis,20200224,315.25,177.75
Malik Monk,Coby White,Markieff Morris,TJ Warren,Steven Adams,CJ McCollum,Thaddeus Young,Khris Middleton,20200225,318,255.5
Ricky Rubio,Garrett Temple,Royce ONeale,Cedi Osman,Tristan Thompson,DAngelo Russell,Aaron Gordon,Bam Adebayo,20200226,319,294.25
Alex Caruso,Damion Lee,Juan Toscano-Anderson,Anthony Davis,Mitchell Robinson,CJ McCollum,Buddy Hield,Steven Adams,20200227,322.5,212.75
Kendrick Nunn,Donovan Mitchell,Jarrett Culver,Kelan Martin,Chris Boucher,Ricky Rubio,Aaron Gordon,Luka Doncic,20200228,318.25,239.75
Ricky Rubio,Cam Reddish,Terrence Ross,Kelly Olynyk,Myles Turner,Damion Lee,Aaron Gordon,CJ McCollum,20200229,325.75,229
Brandon Knight,Damion Lee,Brandon Ingram,Jerami Grant,Chris Boucher,Shake Milton,Bradley Beal,DAngelo Russell,20200301,300.25,274
Coby White,Donovan Mitchell,Rudy Gay,Kelly Olynyk,Jonas Valanciunas,Russell Westbrook,Terrence Ross,Myles Turner,20200302,327.5,256
Shake Milton,Bradley Beal,Eric Paschall,Cody Zeller,Trey Lyles,Lonzo Ball,Jerami Grant,OG Anunoby,20200303,313.25,250
Brandon Knight,Coby White,Royce ONeale,Rui Hachimura,Jonas Valanciunas,Lonzo Ball,Terrence Ross,CJ McCollum,20200304,320.75,278.5
Jordan Poole,Andrew Wiggins,Jalen McDaniels,Dragan Bender,Robert Covington,Shake Milton,OG Anunoby,Russell Westbrook,20200305,303,210
Tyus Jones,CJ McCollum,Kevin Huerter,Davis Bertans,Kristaps Porzingis,Coby White,John Konchar,Lonzo Ball,20200306,329,294
Tyus Jones,Collin Sexton,Josh Jackson,Kevin Love,Nikola Jokic,CJ McCollum,Cam Reddish,Mike Conley,20200307,321.5,233.25
Coby White,Bogdan Bogdanovic,Norman Powell,OG Anunoby,Naz Reid,Chris Chiozza,Caris LeVert,Kristaps Porzingis,20200308,334.25,227.5
Mike Conley,Gary Harris,Will Barton,Pascal Siakam,Bismack Biyombo,Devonte Graham,Norman Powell,Kyle Lowry,20200309,291.75,276.5
Ky Bowman,Coby White,Dorian Finney-Smith,Eric Paschall,Kristaps Porzingis,Collin Sexton,Shaquille Harrison,Devin Booker,20200310,323,248
Brandon Knight,Gary Harris,Duncan Robinson,Bobby Portis,Bismack Biyombo,Devonte Graham,Christian Wood,Luka Doncic,20200311,298.75,224.25
Mike Conley,Dion Waiters,Joe Ingles,Kyle Kuzma,Tony Bradley,Lonzo Ball,LeBron James,Jrue Holiday,20200730,282.75,225.25
DJ Augustin,Donte DiVincenzo,Bogdan Bogdanovic,Gordon Hayward,Daniel Theis,Ricky Rubio,Caris LeVert,Devin Booker,20200731,323.5,254
Jordan Clarkson,Jrue Holiday,Kyle Kuzma,Al Horford,Myles Turner,Kyle Lowry,Duncan Robinson,Serge Ibaka,20200801,315.5,195
DeAnthony Melton,Shabazz Napier,Dorian Finney-Smith,Gordon Hayward,Hassan Whiteside,Ricky Rubio,Bogdan Bogdanovic,James Harden,20200802,334.25,214.75
Derrick White,Troy Brown Jr,Royce ONeale,Kyle Kuzma,Thomas Bryant,LeBron James,TJ Warren,Paul Millsap,20200803,288.5,302.25
Michael Carter-Williams,Victor Oladipo,Cameron Johnson,Gordon Hayward,Boban Marjanovic,Malcolm Brogdon,TJ Warren,Giannis Antetokounmpo,20200804,322.5,194.5
Derrick White,Dion Waiters,Kyle Kuzma,Royce ONeale,Thomas Bryant,Kyle Lowry,Troy Brown Jr,Joel Embiid,20200805,304.25,288.75
TJ McConnell,Cameron Payne,Dorian Finney-Smith,TJ Warren,Boban Marjanovic,Damian Lillard,Luka Doncic,Brook Lopez,20200806,321.25,262.5
Jeremiah Martin,Grayson Allen,Joe Harris,Kyle Anderson,Thomas Bryant,Kyle Lowry,Troy Brown Jr,Joel Embiid,20200807,299.25,226.25
Eric Bledsoe,Gary Trent Jr,Cameron Johnson,Kelly Olynyk,Brook Lopez,Mike Conley,TJ Warren,Damian Lillard,20200808,316.75,267
Damian Lillard,Gary Trent Jr,Joe Harris,Marcus Morris,Ivica Zubac,Caris LeVert,Troy Brown Jr,Jarrett Allen,20200809,309.25,301.25
Mike Conley,Tyler Herro,Hamidou Diallo,Royce ONeale,Brook Lopez,Devin Booker,TJ Warren,Rudy Gobert,20200810,310.75,177
Jevon Carter,Austin Rivers,Dario Saric,Drew Eubanks,Kristaps Porzingis,Dillon Brooks,Luka Doncic,Damian Lillard,20200811,321.25,286.25
PJ Dozier,Austin Rivers,Duncan Robinson,Darius Bazley,Ivica Zubac,Tyler Herro,Kawhi Leonard,James Harden,20200812,307.25,318.75
Brad Wanamaker,Devin Booker,Keldon Johnson,Carmelo Anthony,Robert Williams,Markelle Fultz,Joe Ingles,Damian Lillard,20200813,304,219.25
Alec Burks,Austin Rivers,Tobias Harris,Meyers Leonard,Chris Boucher,Tyler Herro,Darius Bazley,James Harden,20200814,318.25,213.25
Donovan Mitchell,Alec Burks,Norman Powell,Chris Boucher,Kristaps Porzingis,Caris LeVert,Kawhi Leonard,Boban Marjanovic,20200817,324.5,266
Markelle Fultz,James Harden,Jimmy Butler,Doug McDermott,Darius Bazley,Goran Dragic,Edmond Sumner,Damian Lillard,20200818,331.25,269.75
Raul Neto,Caris LeVert,Garrett Temple,OG Anunoby,Jarrett Allen,PJ Dozier,Kawhi Leonard,Donovan Mitchell,20200819,313.25,264.25
George Hill,James Harden,Doug McDermott,Alize Johnson,Jeff Green,Goran Dragic,Jimmy Butler,Damian Lillard,20200820,311.25,182.75
Donovan Mitchell,Alec Burks,Stanley Johnson,Jayson Tatum,Boban Marjanovic,Fred VanVleet,Garrett Temple,Caris LeVert,20200821,306,182.5
DJ Augustin,Terrence Ross,Eric Gordon,Gary Clark,Myles Turner,Goran Dragic,Anthony Davis,Nikola Vucevic,20200822,280,297.25
Raul Neto,Josh Richardson,Stanley Johnson,Marcus Morris,Joel Embiid,Fred VanVleet,Kawhi Leonard,Serge Ibaka,20200823,301.5,260.75
Quinn Cook,Kendrick Nunn,Jimmy Butler,Gary Clark,Jeff Green,Goran Dragic,Giannis Antetokounmpo,Malcolm Brogdon,20200824,298.25,209.75
PJ Dozier,Seth Curry,Tim Hardaway Jr,Marcus Morris,Rudy Gobert,Jordan Clarkson,Kawhi Leonard,Jamal Murray,20200825,279.75,250.75
Alex Caruso,Hamidou Diallo,Kentavious Caldwell-Pope,Giannis Antetokounmpo,PJ Tucker,James Harden,Pat Connaughton,Nikola Vucevic,20200829,279,250
Terence Davis,Gary Harris,Norman Powell,Dorian Finney-Smith,Serge Ibaka,Kemba Walker,Kawhi Leonard,Jamal Murray,20200830,298,268.75
Frank Mason III,Kendrick Nunn,Robert Covington,Jae Crowder,Nerlens Noel,Eric Gordon,Giannis Antetokounmpo,James Harden,20200831,282,208.5
Marcus Smart,Jamal Murray,Torrey Craig,Daniel Theis,Serge Ibaka,Mike Conley,Norman Powell,Kemba Walker,20200901,290.5,203.5
Eric Bledsoe,Eric Gordon,Robert Covington,Darius Bazley,Brook Lopez,Goran Dragic,Khris Middleton,Bam Adebayo,20200902,281.25,268.5
Reggie Jackson,Torrey Craig,Landry Shamet,Daniel Theis,Serge Ibaka,Kemba Walker,Kawhi Leonard,Jamal Murray,20200903,291.75,167.5
Alex Caruso,Eric Gordon,Robert Covington,Marvin Williams,PJ Tucker,Goran Dragic,Khris Middleton,LeBron James,20200904,288.75,241.5
Monte Morris,Marcus Smart,Torrey Craig,OG Anunoby,Montrezl Harrell,Fred VanVleet,Kawhi Leonard,Kyle Lowry,20200905,260.5,227.75
Alex Caruso,Danny Green,Eric Gordon,Robert Covington,PJ Tucker,LeBron James,Khris Middleton,Brook Lopez,20200906,270.5,284
Monte Morris,Jaylen Brown,Stanley Johnson,OG Anunoby,JaMychal Green,Fred VanVleet,Kawhi Leonard,Kyle Lowry,20200907,262.5,208.75
Rajon Rondo,Eric Gordon,Jimmy Butler,Robert Covington,PJ Tucker,George Hill,Khris Middleton,Goran Dragic,20200908,274.5,209.25
Patrick Beverley,Paul George,Marcus Morris,Paul Millsap,Montrezl Harrell,Kyle Lowry,OG Anunoby,Nikola Jokic,20200909,247.75,222
Brad Wanamaker,Gary Harris,Norman Powell,JaMychal Green,Ivica Zubac,Kyle Lowry,Kawhi Leonard,Nikola Jokic,20200911,251,198
Monte Morris,Gary Harris,Jimmy Butler,Kelly Olynyk,Nikola Jokic,Patrick Beverley,Kawhi Leonard,Tyler Herro,20200915,260.5,266.75
Goran Dragic,Tyler Herro,Andre Iguodala,Kelly Olynyk,Daniel Theis,Jimmy Butler,Jae Crowder,Jayson Tatum,20200917,251.25,189.75
Alex Caruso,Jamal Murray,Kyle Kuzma,Bol Bol,Dwight Howard,Rajon Rondo,LeBron James,Nikola Jokic,20200918,261.25,185.25
Kemba Walker,Tyler Herro,Gordon Hayward,Jae Crowder,Kelly Olynyk,Jaylen Brown,Andre Iguodala,Jayson Tatum,20200919,241.75,239.75
Rajon Rondo,Torrey Craig,Kyle Kuzma,Markieff Morris,Dwight Howard,Jamal Murray,Anthony Davis,LeBron James,20200920,257,200
Alex Caruso,Jamal Murray,Danny Green,Markieff Morris,Dwight Howard,Rajon Rondo,Anthony Davis,Nikola Jokic,20200922,241.5,202
Goran Dragic,Duncan Robinson,Gordon Hayward,Solomon Hill,Bam Adebayo,Tyler Herro,Jae Crowder,Jaylen Brown,20200923,265.25,225.75
Monte Morris,Jamal Murray,Kentavious Caldwell-Pope,Jerami Grant,Nikola Jokic,Rajon Rondo,LeBron James,Mason Plumlee,20200924,237,228.75
Brad Wanamaker,Duncan Robinson,Solomon Hill,Gordon Hayward,Bam Adebayo,Tyler Herro,Jayson Tatum,Jaylen Brown,20200925,251.75,212
Monte Morris,Alex Caruso,Torrey Craig,Jerami Grant,Anthony Davis,Kentavious Caldwell-Pope,LeBron James,Jamal Murray,20200926,243.5,249.75
Brad Wanamaker,Duncan Robinson,Solomon Hill,Jayson Tatum,Daniel Theis,Tyler Herro,Jaylen Brown,Bam Adebayo,20200927,248.25,245.5