6,7,5,4,3,2,1,0,Date,FPTS
Will Barton,Tyler Herro,Jimmy Butler,LeBron James,Jalen Brunson,Maxi Kleber,Meyers Leonard,Solomon Hill,20191029,254.75
Jimmy Butler,Jahlil Okafor,Jrue Holiday,DeAndre Bembry,Monte Morris,DeMar DeRozan,Kawhi Leonard,Tyrone Wallace,20191031,315.25
,,,,,,,,20191121,#NAME?
Kawhi Leonard,Paul George,Will Barton,Nikola Jokic,Jerami Grant,Jordan McRae,Jamal Murray,Malik Beasley,20191126,281.5
Ben Simmons,Joel Embiid,Giannis Antetokounmpo,Ben McLemore,Malcolm Brogdon,Chris Clemons,Austin Rivers,Tyrone Wallace,20191130,306
Pascal Siakam,Tobias Harris,Mason Plumlee,Russell Westbrook,Devin Booker,Ricky Rubio,Jerami Grant,Malik Beasley,20191205,357.25
Kevin Love,Seth Curry,Joel Embiid,Mike Scott,Carmelo Anthony,Jalen Brunson,Tony Snell,Tim Frazier,20191212,271.5
Tristan Thompson,Danilo Gallinari,Josh Richardson,Chris Paul,Al Horford,Josh Okogie,Keita Bates-Diop,Matisse Thybulle,20200109,298.5
Domantas Sabonis,Malcolm Brogdon,LaMarcus Aldridge,DeMar DeRozan,Doug McDermott,Kendrick Nunn,TJ McConnell,Goga Bitadze,20200119,269.25
Bradley Beal,Carmelo Anthony,Anthony Davis,Trevor Ariza,Collin Sexton,Damian Lillard,Gary Trent Jr,Jared Dudley,20200123,331.5
Jarrett Allen,Kyrie Irving,Shabazz Napier,Zach LaVine,Darius Bazley,Karl-Anthony Towns,Ben Simmons,Keita Bates-Diop,20200125,407.25
,,,,,,,,20200213,#NAME?
Joe Ingles,Paul Millsap,Serge Ibaka,Caleb Martin,Devonte Graham,Terry Rozier,Kyle Korver,Thanasis Antetokounmpo,20200309,348
Jrue Holiday,Paul George,Donovan Mitchell,Kyle Kuzma,Rudy Gobert,Anthony Davis,Mike Conley,Frank Jackson,20200730,276.5
Nerlens Noel,Tristan Thompson,Kawhi Leonard,Jayson Tatum,Derrick Rose,Marcus Smart,Kevin Durant,Tyler Johnson,20210528,351.75
Jonas Valanciunas,Tobias Harris,Rui Hachimura,Dillon Brooks,Donovan Mitchell,Daniel Gafford,Jordan Clarkson,Tyus Jones,20210531,271.25
Damian Lillard,Robert Covington,Devin Booker,CJ McCollum,Romeo Langford,Jabari Parker,Torrey Craig,Anfernee Simons,20210601,303.25
Jae Crowder,Robert Covington,Devin Booker,Monte Morris,Carmelo Anthony,Cameron Johnson,Talen Horton-Tucker,Frank Kaminsky,20210603,268.75
Terance Mann,Tobias Harris,Joel Embiid,Kawhi Leonard,Marcus Morris,Luka Doncic,Kevin Huerter,George Hill,20210606,339.5
Facundo Campazzo,Chris Paul,Devin Booker,Mikal Bridges,Kevin Durant,Bruce Brown,Nikola Jokic,Justin Jackson,20210607,298.25
Donovan Mitchell,Tobias Harris,Trae Young,Bogdan Bogdanovic,Danilo Gallinari,Royce ONeale,Ivica Zubac,DeMarcus Cousins,20210608,279.5
Khris Middleton,Paul George,Donovan Mitchell,Bruce Brown,Rudy Gobert,Bobby Portis,Brook Lopez,Thanasis Antetokounmpo,20210610,285.5
Monte Morris,Chris Paul,Tobias Harris,John Collins,Will Barton,Furkan Korkmaz,Mikal Bridges,Dario Saric,20210611,238.5
Devin Booker,Chris Paul,Will Barton,Khris Middleton,Jae Crowder,Pat Connaughton,Giannis Antetokounmpo,Jeff Green,20210613,321.5
Donovan Mitchell,Marcus Morris,Trae Young,Paul George,Bogdan Bogdanovic,Furkan Korkmaz,Luke Kennard,Onyeka Okongwu,20210614,272.25
Bojan Bogdanovic,John Collins,Marcus Morris,Paul George,Seth Curry,Trae Young,Danilo Gallinari,Onyeka Okongwu,20210616,339.75
Nicolas Batum,Royce ONeale,Kevin Huerter,Donovan Mitchell,Reggie Jackson,Patrick Beverley,Terance Mann,Onyeka Okongwu,20210618,335.5
John Collins,Tobias Harris,Kevin Huerter,Cameron Payne,Rajon Rondo,Terance Mann,Trae Young,DeMarcus Cousins,20210620,270.5
Cameron Johnson,Marcus Morris,Ivica Zubac,Rajon Rondo,Cameron Payne,Dario Saric,Deandre Ayton,Luke Kennard,20210622,219
Jrue Holiday,Khris Middleton,Bobby Portis,Bogdan Bogdanovic,Trae Young,John Collins,Giannis Antetokounmpo,Solomon Hill,20210623,331.75
,,,,,,,,20210624,#NAME?
Khris Middleton,PJ Tucker,Jrue Holiday,Bogdan Bogdanovic,Brook Lopez,Pat Connaughton,Bobby Portis,Jordan Nwora,20210625,184.5
Marcus Morris,Mikal Bridges,Jae Crowder,Deandre Ayton,Ivica Zubac,Chris Paul,Paul George,Luke Kennard,20210626,243.5
Jrue Holiday,Khris Middleton,Kevin Huerter,Bogdan Bogdanovic,Danilo Gallinari,Bobby Portis,Giannis Antetokounmpo,Solomon Hill,20210627,272.5
Marcus Morris,Jae Crowder,Cameron Johnson,Deandre Ayton,Reggie Jackson,DeMarcus Cousins,Patrick Beverley,Torrey Craig,20210628,192.25
Bogdan Bogdanovic,Jrue Holiday,Kevin Huerter,Cam Reddish,Bobby Portis,PJ Tucker,Onyeka Okongwu,Thanasis Antetokounmpo,20210629,187.5
,,,,,,,,20210630,#NAME?
Bobby Portis,Brook Lopez,Jrue Holiday,Khris Middleton,PJ Tucker,Bogdan Bogdanovic,Cam Reddish,Bryn Forbes,20210701,304.25
Nikola Jokic,Daniel Theis,Jamal Murray,Donovan Mitchell,Kemba Walker,Robert Williams,Torrey Craig,Rodney McGruder,20200830,312.75
Jimmy Butler,Bam Adebayo,Robert Covington,Goran Dragic,Eric Gordon,Dennis Schroder,Darius Bazley,Marvin Williams,20200831,275.75
Monte Morris,Kyle Lowry,Jayson Tatum,Pascal Siakam,Jaylen Brown,OG Anunoby,Nikola Jokic,Terence Davis,20200901,294
Robert Covington,Bam Adebayo,Chris Paul,Eric Gordon,Goran Dragic,James Harden,Luguentz Dort,Marvin Williams,20200902,309
OG Anunoby,Paul Millsap,Jaylen Brown,Kyle Lowry,JaMychal Green,PJ Dozier,Bol Bol,Keita Bates-Diop,20200903,209.5
Jimmy Butler,Anthony Davis,Eric Gordon,Tyler Herro,James Harden,Bam Adebayo,Jae Crowder,Meyers Leonard,20200904,300.5
Marcus Smart,Kyle Lowry,Pascal Siakam,Paul George,Fred VanVleet,Nikola Jokic,JaMychal Green,Grant Williams,20200905,300.25
,,,,,,,,20200906,#NAME?
Paul George,Kemba Walker,Jaylen Brown,Jayson Tatum,Brad Wanamaker,Nikola Jokic,Daniel Theis,Stanley Johnson,20200907,287.75
Jae Crowder,Anthony Davis,James Harden,Russell Westbrook,Kelly Olynyk,Rajon Rondo,LeBron James,Kendrick Nunn,20200908,341.75
Kyle Lowry,Pascal Siakam,Fred VanVleet,Jamal Murray,Nikola Jokic,Ivica Zubac,Norman Powell,Landry Shamet,20200909,308.25
Marcus Smart,Paul George,Jamal Murray,Jayson Tatum,Nikola Jokic,Marc Gasol,Paul Millsap,Grant Williams,20200911,302.25
Jimmy Butler,Jae Crowder,Jamal Murray,Tyler Herro,Goran Dragic,Patrick Beverley,Nikola Jokic,Rodney McGruder,20200915,330
Goran Dragic,Kemba Walker,Duncan Robinson,Bam Adebayo,Jaylen Brown,Kelly Olynyk,Jae Crowder,Grant Williams,20200917,226.25
Anthony Davis,Jamal Murray,Nikola Jokic,Rajon Rondo,Kentavious Caldwell-Pope,Danny Green,JR Smith,PJ Dozier,20200918,208.5
Jaylen Brown,Marcus Smart,Tyler Herro,Jae Crowder,Bam Adebayo,Duncan Robinson,Daniel Theis,Grant Williams,20200919,254.25
Anthony Davis,Jamal Murray,Nikola Jokic,Paul Millsap,Danny Green,Alex Caruso,Kentavious Caldwell-Pope,PJ Dozier,20200920,248.75
Nikola Jokic,Jamal Murray,Anthony Davis,Jerami Grant,Kentavious Caldwell-Pope,Rajon Rondo,Torrey Craig,Monte Morris,20200922,250.25
Duncan Robinson,Tyler Herro,Goran Dragic,Bam Adebayo,Daniel Theis,Jaylen Brown,Jayson Tatum,Andre Iguodala,20200923,270.75
Nikola Jokic,Jamal Murray,Anthony Davis,Dwight Howard,Kentavious Caldwell-Pope,Rajon Rondo,Torrey Craig,Monte Morris,20200924,249.25
Marcus Smart,Daniel Theis,Jaylen Brown,Tyler Herro,Duncan Robinson,Andre Iguodala,Jayson Tatum,Solomon Hill,20200925,245.75
Nikola Jokic,Jamal Murray,Anthony Davis,Dwight Howard,Jerami Grant,Monte Morris,Danny Green,PJ Dozier,20200926,231.25
Jimmy Butler,Marcus Smart,Jaylen Brown,Duncan Robinson,Bam Adebayo,Andre Iguodala,Solomon Hill,Grant Williams,20200927,245.25
Paul George,Montrezl Harrell,Caris LeVert,Dennis Schroder,Stephen Curry,Joe Harris,Nicolas Batum,Reggie Perry,20201222,270.5
Luguentz Dort,Donovan Mitchell,Jordan Clarkson,Zion Williamson,Paul Millsap,Joe Ingles,Isaiah Roby,Isaiah Hartenstein,20210119,271.5
Rudy Gobert,DeAndre Hunter,DeMarcus Cousins,Trae Young,Reggie Jackson,David Nwaba,Royce ONeale,Brandon Goodwin,20210126,319.25
Jimmy Butler,Norman Powell,Nemanja Bjelica,Tyler Herro,James Harden,DaQuan Jeffries,Giannis Antetokounmpo,Andre Iguodala,20210218,318.5
Jonas Valanciunas,Rudy Gay,DeMar DeRozan,Kristaps Porzingis,Deni Avdija,Desmond Bane,Justise Winslow,Troy Brown Jr,20210310,300.75
Pascal Siakam,Kyle Kuzma,Robert Covington,CJ McCollum,Damian Lillard,Dennis Schroder,Dwayne Bacon,Onyeka Okongwu,20210328,314.25
Terry Rozier,Bradley Beal,Goga Bitadze,Oshae Brissett,Jayson Tatum,Domantas Sabonis,Kemba Walker,Grant Riller,20210518,338.5
,,,,,,,,20210519,#NAME?
Duncan Robinson,Kevin Durant,Robert Williams,Luka Doncic,Damian Lillard,Kawhi Leonard,Goran Dragic,Dewayne Dedmon,20210522,350.75
Jrue Holiday,Aaron Gordon,Dewayne Dedmon,Damian Lillard,Facundo Campazzo,Paul Millsap,Giannis Antetokounmpo,Jordan Nwora,20210524,310.75