PG,SG,SF,PF,C,G,F,UTIL,Date,Salary,FPTS
Patrick Beverley,Danny Green,Maurice Harkless,Brandon Ingram,Anthony Davis,Josh Hart,Kawhi Leonard,Montrezl Harrell,20191022,48900,307.75
Donovan Mitchell,Devonte Graham,Torrey Craig,Treveon Graham,Karl-Anthony Towns,Justise Winslow,Lauri Markkanen,Andre Drummond,20191023,49500,410.75
Trae Young,Glenn Robinson III,Giannis Antetokounmpo,Ersan Ilyasova,Ivica Zubac,Russell Westbrook,PJ Tucker,Andre Drummond,20191024,49900,360.25
Coby White,Luka Doncic,Josh Hart,Jae Crowder,Karl-Anthony Towns,Kyle Lowry,Frank Kaminsky,Thomas Bryant,20191025,49400,375.25
Russell Westbrook,Derrick Rose,Bojan Bogdanovic,Brandon Ingram,Al Horford,Dejounte Murray,Markieff Morris,Malcolm Brogdon,20191026,48600,386.25
Kyrie Irving,Kendrick Nunn,Rodney Hood,Kristaps Porzingis,Cody Zeller,Luka Doncic,Duncan Robinson,Dwight Howard,20191027,49000,377.0
Stephen Curry,Devonte Graham,Kenrich Williams,Jonathan Isaac,Joel Embiid,Damion Lee,Kawhi Leonard,Dennis Schroder,20191028,49100,380.25
Jalen Brunson,Tyler Herro,Will Barton,John Collins,Anthony Davis,Gary Harris,Meyers Leonard,Bam Adebayo,20191029,46700,329.75
Damian Lillard,James Harden,Gordon Hayward,Dario Saric,Richaun Holmes,Malcolm Brogdon,JaMychal Green,Aron Baynes,20191030,49400,425.25
DeAndre Bembry,Kendrick Nunn,Jabari Parker,Kawhi Leonard,Jahlil Okafor,Derrick White,Jimmy Butler,Jrue Holiday,20191031,48900,345.0
Derrick Rose,Jeremy Lamb,LeBron James,Marcus Morris,Tristan Thompson,Kemba Walker,Taurean Prince,Garrett Temple,20191101,49200,394.75
Jeff Teague,Dwayne Bacon,Bruce Brown,Kyle OQuinn,Gorgui Dieng,Damian Lillard,Giannis Antetokounmpo,Andre Drummond,20191102,49600,398.25
Luka Doncic,Brandon Knight,Duncan Robinson,Marcus Morris,Kevin Love,LeBron James,Jimmy Butler,James Johnson,20191103,50000,364.75
Damian Lillard,James Harden,Eric Paschall,Brandon Ingram,Al Horford,Bruce Brown,Troy Brown Jr,Jarrett Allen,20191104,50000,403.5
LeBron James,Zach LaVine,TJ Warren,Jabari Parker,Goga Bitadze,Chris Paul,Gordon Hayward,Coby White,20191105,49100,361.5
Alec Burks,Patrick Beverley,Tomas Satoransky,Jonathan Isaac,Montrezl Harrell,CJ Miles,Giannis Antetokounmpo,Joel Embiid,20191106,49600,422.0
Goran Dragic,Jimmy Butler,Gordon Hayward,Danilo Gallinari,Ivica Zubac,Brad Wanamaker,Kawhi Leonard,Dejounte Murray,20191107,49000,333.25
Frank Ntilikina,Jamal Murray,Evan Fournier,Kristaps Porzingis,Nikola Vucevic,Kevin Huerter,Rui Hachimura,Luka Doncic,20191108,49400,384.5
Devonte Graham,James Harden,Jae Crowder,Wendell Carter Jr,Clint Capela,Marko Guduric,JJ Redick,Alec Burks,20191109,48000,363.0
Dennis Schroder,Collin Sexton,Jabari Parker,Domantas Sabonis,Mike Muscala,Fred VanVleet,Giannis Antetokounmpo,David Nwaba,20191110,49900,354.25
DAngelo Russell,Donovan Mitchell,Andrew Wiggins,Derrick Favors,Jahlil Okafor,Dillon Brooks,Jaylen Brown,Jrue Holiday,20191111,50000,337.25
LeBron James,Bogdan Bogdanovic,Kyle Kuzma,Nemanja Bjelica,DeAndre Jordan,Trae Young,TJ Warren,Coby White,20191112,49200,366.25
Fred VanVleet,Bradley Beal,Aaron Gordon,Pascal Siakam,JaVale McGee,Ja Morant,JaMychal Green,Miles Bridges,20191113,49000,390.0
Zach LaVine,Coby White,Kenrich Williams,Giannis Antetokounmpo,Alex Len,Jrue Holiday,Derrick Favors,Cameron Johnson,20191114,49400,371.5
James Harden,Bradley Beal,Dillon Brooks,Kyle Anderson,Rudy Gobert,Langston Galloway,Moritz Wagner,Al-Farouq Aminu,20191115,49700,385.75
Aaron Holiday,Jimmy Butler,Jake Layman,Paul George,Bam Adebayo,CJ McCollum,LaMarcus Aldridge,ETwaun Moore,20191116,49800,363.0
LeBron James,Jamal Murray,Buddy Hield,Eric Paschall,Nikola Vucevic,Danny Green,Daniel Theis,Nickeil Alexander-Walker,20191117,48800,395.25
Spencer Dinwiddie,Kent Bazemore,DeMar DeRozan,Julius Randle,Brook Lopez,Aaron Holiday,Montrezl Harrell,Russell Westbrook,20191118,49000,411.75
Draymond Green,Alec Burks,Bogdan Bogdanovic,Brandon Ingram,Anthony Davis,Cory Joseph,Nassir Little,Richaun Holmes,20191119,48900,361.75
Tomas Satoransky,Torrey Craig,Jayson Tatum,Marcus Morris,Jarrett Allen,Luka Doncic,Ben Simmons,Shaquille Harrison,20191120,48000,382.75
Jrue Holiday,CJ McCollum,Brandon Ingram,Giannis Antetokounmpo,Skal Labissiere,JJ Redick,Carmelo Anthony,Mikal Bridges,20191121,49900,403.75
James Harden,Joe Harris,Bruce Brown,Omari Spellman,Anthony Davis,Shai Gilgeous-Alexander,DeAndre Bembry,Darius Garland,20191122,49600,351.5
Trae Young,Frank Ntilikina,Jae Crowder,Jonathan Isaac,Wendell Carter Jr,Zach LaVine,Jeff Green,Bojan Bogdanovic,20191123,50000,365.5
Spencer Dinwiddie,Bogdan Bogdanovic,Taurean Prince,Dario Saric,Richaun Holmes,Will Barton,Montrezl Harrell,Jarrett Allen,20191124,49400,341.5
Ky Bowman,Jeremy Lamb,Pat Connaughton,Carmelo Anthony,Jarrett Allen,Luke Kennard,Glenn Robinson III,Giannis Antetokounmpo,20191125,49200,372.0
Will Barton,Kawhi Leonard,Paul George,Jerami Grant,Thomas Bryant,Jordan McRae,Mason Plumlee,Kristaps Porzingis,20191126,46900,294.25
Jrue Holiday,Zach LaVine,Jabari Parker,OG Anunoby,Omari Spellman,Matisse Thybulle,Thomas Bryant,Andre Drummond,20191127,49800,385.75
Zach LaVine,Dennis Schroder,Carmelo Anthony,Julius Randle,PJ Washington,Collin Sexton,Bojan Bogdanovic,Fred VanVleet,20191129,49100,349.5
James Harden,Austin Rivers,Ben Simmons,Domantas Sabonis,Robin Lopez,Malcolm Brogdon,TJ Warren,Ben McLemore,20191130,49800,361.5
Fred VanVleet,Evan Fournier,Jayson Tatum,Christian Wood,Bam Adebayo,Delon Wright,Bruno Caboclo,Spencer Dinwiddie,20191201,47100,365.5
Ricky Rubio,Mikal Bridges,Giannis Antetokounmpo,Solomon Hill,Rudy Gobert,Buddy Hield,Joe Ingles,Eric Paschall,20191202,49700,340.5
DJ Augustin,James Harden,PJ Tucker,Patrick Patterson,Clint Capela,Jimmy Butler,Kelly Olynyk,Isaiah Thomas,20191203,48600,376.75
Terry Rozier,Cam Reddish,Jimmy Butler,Aaron Gordon,Hassan Whiteside,CJ McCollum,Kent Bazemore,Devonte Graham,20191204,48600,404.75
Devin Booker,Fred VanVleet,Ben Simmons,Tobias Harris,Rui Hachimura,Ricky Rubio,PJ Tucker,Mason Plumlee,20191205,49300,381.25
Jeff Teague,Joe Harris,Jimmy Butler,Blake Griffin,Andre Drummond,Terrence Ross,Cedi Osman,Derrick Rose,20191206,49700,363.5
Russell Westbrook,Trey Burke,TJ Warren,Dario Saric,Julius Randle,Ben Simmons,Kyle OQuinn,Domantas Sabonis,20191207,48000,364.25
Kyle Lowry,Shai Gilgeous-Alexander,Tim Hardaway Jr,OG Anunoby,Anthony Davis,Kawhi Leonard,Nemanja Bjelica,Shabazz Napier,20191208,50000,383.75
Russell Westbrook,Patrick Beverley,Gordon Hayward,Paul George,Domantas Sabonis,Tomas Satoransky,Serge Ibaka,Shai Gilgeous-Alexander,20191209,50000,342.0
Devonte Graham,Terry Rozier,Tobias Harris,Bobby Portis,Hassan Whiteside,Will Barton,Davis Bertans,Bismack Biyombo,20191210,49900,344.0
Jeff Teague,Buddy Hield,Jordan Clarkson,Julius Randle,Kevin Love,Kemba Walker,Joe Ingles,Marcus Morris,20191211,47700,383.0
Kemba Walker,Collin Sexton,Luka Doncic,Kevin Love,Jerami Grant,Seth Curry,Jordan Clarkson,Tobias Harris,20191212,49300,387.0
Alec Burks,James Harden,Buddy Hield,Kelly Olynyk,Marquese Chriss,Damion Lee,Ben Simmons,Alex Len,20191213,48500,363.0
Bruce Brown,Norman Powell,Luke Kennard,Pascal Siakam,Nikola Jokic,Kris Dunn,Lauri Markkanen,Bam Adebayo,20191214,49200,398.5
Elfrid Payton,Bogdan Bogdanovic,LeBron James,Brandon Ingram,Myles Turner,JJ Redick,Mason Plumlee,Jrue Holiday,20191215,48200,349.25
Chris Paul,Bruce Brown,Norman Powell,Rudy Gay,Clint Capela,Darius Garland,Tomas Satoransky,Giannis Antetokounmpo,20191216,49600,385.25
Trae Young,Joe Harris,Bojan Bogdanovic,Bobby Portis,Mitchell Robinson,Spencer Dinwiddie,Frank Kaminsky,Malik Monk,20191217,46100,345.5
Kyle Lowry,Terry Rozier,Josh Richardson,Lauri Markkanen,Marquese Chriss,Damian Lillard,Kevin Love,Serge Ibaka,20191218,49700,380.75
Spencer Dinwiddie,Derrick White,Paul George,Jabari Parker,Jarrett Allen,Russell Westbrook,Danny Green,Patty Mills,20191219,49700,358.5
Lonzo Ball,CJ McCollum,Jordan Clarkson,Kristaps Porzingis,Nikola Vucevic,Alec Burks,Richaun Holmes,Bobby Portis,20191220,48900,364.0
Elfrid Payton,Terry Rozier,Jae Crowder,Richaun Holmes,Alex Len,Bradley Beal,Garrett Temple,Hassan Whiteside,20191221,48900,369.75
Malik Beasley,Nicolas Batum,Jayson Tatum,Giannis Antetokounmpo,Steven Adams,Shai Gilgeous-Alexander,Domantas Sabonis,Gary Harris,20191222,49900,364.75
DeAaron Fox,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Jokic,Damion Lee,DeMar DeRozan,Troy Brown Jr,20191223,48900,373.0
Malik Beasley,Furkan Korkmaz,Khris Middleton,Kawhi Leonard,Derrick Favors,Russell Westbrook,Brandon Ingram,Damion Lee,20191225,49500,366.25
Chris Paul,Joe Ingles,Robert Covington,Julius Randle,Gorgui Dieng,Damian Lillard,Christian Wood,Rudy Gay,20191226,47700,358.75
Ben Simmons,Devin Booker,Allen Crabbe,Aaron Gordon,Ersan Ilyasova,DAngelo Russell,Tobias Harris,Nikola Vucevic,20191227,49900,338.0
James Harden,Devin Booker,Harrison Barnes,Ersan Ilyasova,Julius Randle,Isaiah Thomas,Jonathan Isaac,Jakob Poeltl,20191228,49800,383.75
Lonzo Ball,ETwaun Moore,Buddy Hield,Brandon Ingram,Anthony Davis,Chris Clemons,Isaiah Hartenstein,Jrue Holiday,20191229,46300,348.0
Jordan McRae,Spencer Dinwiddie,Khris Middleton,Giannis Antetokounmpo,Alex Len,Brandon Goodwin,Garrison Mathews,Hassan Whiteside,20191230,48600,364.5
Draymond Green,Alec Burks,Glenn Robinson III,Gordon Hayward,Domantas Sabonis,TJ McConnell,Maxi Kleber,Luka Doncic,20191231,49400,345.25
DJ Augustin,Devin Booker,LeBron James,Julius Randle,Deandre Ayton,Frank Ntilikina,Carmelo Anthony,Avery Bradley,20200101,48900,355.5
Luka Doncic,Shabazz Napier,Rodions Kurucs,JaMychal Green,LaMarcus Aldridge,Jeremy Lamb,Robert Covington,Shai Gilgeous-Alexander,20200102,49800,338.0
Marcus Smart,James Harden,Ben Simmons,Daniel Theis,Aron Baynes,Jordan McRae,Danny Green,Clint Capela,20200103,48500,435.5
Kevin Huerter,Jamal Murray,Troy Brown Jr,Sekou Doumbouya,Domantas Sabonis,Lonzo Ball,Alec Burks,Jae Crowder,20200104,49600,399.25
Goran Dragic,Dante Exum,Andrew Wiggins,Anthony Davis,Gorgui Dieng,Derrick Rose,James Johnson,Damian Lillard,20200105,50000,380.25
Will Barton,Markelle Fultz,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Jordan McRae,Trevor Ariza,Nikola Jokic,20200106,48800,355.5
Jarrett Culver,Tony Snell,Jae Crowder,Kevin Love,Andre Drummond,Dillon Brooks,Carmelo Anthony,Chris Paul,20200107,48000,336.5
Kris Dunn,JJ Redick,Troy Brown Jr,Khem Birch,Clint Capela,Terence Davis,Bobby Portis,James Harden,20200108,47600,387.0
Darius Garland,Collin Sexton,Josh Richardson,Jayson Tatum,Tristan Thompson,Kemba Walker,Danilo Gallinari,Chris Paul,20200109,49600,344.5
Spencer Dinwiddie,DeMar DeRozan,Sterling Brown,Brandon Clarke,Rudy Gobert,Ja Morant,Kyle Kuzma,Myles Turner,20200110,49300,391.0
Rajon Rondo,Zach LaVine,Jayson Tatum,Carmelo Anthony,Christian Wood,Eric Bledsoe,Kyle Kuzma,Kevin Love,20200111,48500,374.75
DAngelo Russell,Joe Ingles,Jimmy Butler,Serge Ibaka,Ian Mahinmi,Devonte Graham,Eric Paschall,Jonas Valanciunas,20200112,49200,365.5
DeAaron Fox,Shai Gilgeous-Alexander,Ben Simmons,Carmelo Anthony,Nikola Vucevic,CJ McCollum,PJ Washington,Jahlil Okafor,20200113,49700,416.0
Kevin Huerter,Dillon Brooks,Mikal Bridges,Bobby Portis,Julius Randle,Kyrie Irving,Cameron Johnson,Kawhi Leonard,20200114,49400,367.75
Kendrick Nunn,Markelle Fultz,Keita Bates-Diop,Mike Muscala,Domantas Sabonis,Russell Westbrook,Nemanja Bjelica,Tobias Harris,20200115,48100,390.0
Ricky Rubio,Donovan Mitchell,Will Barton,Bojan Bogdanovic,Deandre Ayton,Kemba Walker,Mason Plumlee,Malik Beasley,20200116,49700,427.0
Trae Young,Norman Powell,Cam Reddish,OG Anunoby,Marc Gasol,Terence Davis,TJ Warren,DeMar DeRozan,20200117,47900,357.0
Devin Booker,Gary Trent Jr,Josh Hart,Markieff Morris,Rudy Gobert,Marcus Smart,Norman Powell,Zach LaVine,20200118,48600,405.25
Patty Mills,Malcolm Brogdon,Marco Belinelli,Domantas Sabonis,Nikola Jokic,Kendrick Nunn,Doug McDermott,Bam Adebayo,20200119,49200,326.25
DAngelo Russell,Alec Burks,Rondae Hollis-Jefferson,Nicolo Melli,Ian Mahinmi,Ben Simmons,Buddy Hield,Devin Booker,20200120,49200,397.25
TJ McConnell,Dennis Schroder,Torrey Craig,LaMarcus Aldridge,John Collins,Russell Westbrook,Bradley Beal,Reggie Jackson,20200122,47600,411.0
Damian Lillard,Gary Trent Jr,Bradley Beal,Wilson Chandler,Dwight Howard,Collin Sexton,LeBron James,Trevor Ariza,20200123,49500,356.0
Kemba Walker,Evan Fournier,Josh Okogie,TJ Warren,Kelly Olynyk,Devin Booker,Josh Hart,Nikola Jokic,20200124,49100,387.5
Shabazz Napier,Hamidou Diallo,Tobias Harris,Darius Bazley,Karl-Anthony Towns,Zach LaVine,Luguentz Dort,Kyrie Irving,20200125,50000,367.5
Damian Lillard,Jeremy Lamb,DeAndre Hunter,Pascal Siakam,Domantas Sabonis,Michael Carter-Williams,Khem Birch,Deandre Ayton,20200126,49500,383.0
Austin Rivers,DeMar DeRozan,Buddy Hield,Bojan Bogdanovic,Jakob Poeltl,DeAaron Fox,Nemanja Bjelica,Eric Gordon,20200127,49000,390.25
Eric Bledsoe,Bradley Beal,Khris Middleton,DeAndre Hunter,Deandre Ayton,Jrue Holiday,Thomas Bryant,Raul Neto,20200128,49800,405.75
Reggie Jackson,DeMar DeRozan,Luguentz Dort,Taurean Prince,Julius Randle,Damian Lillard,Brandon Clarke,Mitchell Robinson,20200129,49900,344.75
Trae Young,Shake Milton,Bradley Beal,Miles Bridges,Dewayne Dedmon,DeAaron Fox,Vince Carter,Jordan Clarkson,20200130,46900,404.0
Kyrie Irving,Malik Beasley,Kyle Anderson,Kyle Kuzma,Hassan Whiteside,Will Barton,Anthony Davis,Jerami Grant,20200131,49500,393.75
Damian Lillard,Bradley Beal,Miles Bridges,Marquese Chriss,Cody Zeller,Draymond Green,Meyers Leonard,Maxi Kleber,20200201,48300,384.0
James Harden,Devin Booker,Josh Hart,Giannis Antetokounmpo,Brook Lopez,Ben McLemore,Thaddeus Young,Jevon Carter,20200202,50000,360.75
Markelle Fultz,Tim Hardaway Jr,Mikal Bridges,Christian Wood,Deandre Ayton,Elfrid Payton,Kristaps Porzingis,Jonas Valanciunas,20200203,48200,383.25
Bryn Forbes,James Harden,Kyle Kuzma,Miles Bridges,Nikola Jokic,Malik Beasley,Khris Middleton,PJ Tucker,20200204,49600,369.25
Mike Conley,Shai Gilgeous-Alexander,Jayson Tatum,Brandon Clarke,Kristaps Porzingis,Kyle Lowry,Christian Wood,Reggie Jackson,20200205,49700,391.25
Elfrid Payton,Coby White,Gary Trent Jr,Giannis Antetokounmpo,Hassan Whiteside,Ben Simmons,Josh Hart,Taj Gibson,20200206,50000,350.25
Terence Davis,CJ McCollum,Ben Simmons,Tobias Harris,Christian Wood,Damian Lillard,Kevin Huerter,Furkan Korkmaz,20200207,48800,386.0
Dejounte Murray,Malik Beasley,Harrison Barnes,Nemanja Bjelica,Karl-Anthony Towns,Buddy Hield,Andrew Wiggins,Jamal Murray,20200208,48600,379.5
Ben Simmons,Furkan Korkmaz,Trevor Ariza,Jae Crowder,Joel Embiid,Ja Morant,Julius Randle,Mike Conley,20200209,48300,418.75
Devonte Graham,Tim Hardaway Jr,Khris Middleton,LaMarcus Aldridge,Domantas Sabonis,Rajon Rondo,OG Anunoby,Paul Millsap,20200210,49500,398.0
Tomas Satoransky,Coby White,Ben Simmons,Robert Covington,Zion Williamson,Zach LaVine,LaMarcus Aldridge,Derrick White,20200211,49200,376.0
Malcolm Brogdon,Andrew Wiggins,Isaac Bonga,TJ Warren,Rudy Gobert,DAngelo Russell,Brandon Clarke,Myles Turner,20200212,49400,363.75
Chris Paul,Shai Gilgeous-Alexander,Kawhi Leonard,Zion Williamson,Montrezl Harrell,JJ Redick,Marcus Morris,Danilo Gallinari,20200213,49900,331.75
Bruce Brown,Malik Monk,Caris LeVert,PJ Washington,Cody Zeller,Trae Young,Thaddeus Young,Bam Adebayo,20200220,50000,378.25
Dejounte Murray,Avery Bradley,Gordon Hayward,Naz Reid,Pascal Siakam,CJ McCollum,Anthony Davis,Maxi Kleber,20200221,49300,379.5
Kendrick Nunn,Cam Reddish,Khris Middleton,Cedi Osman,Jarrett Allen,Coby White,Giannis Antetokounmpo,John Collins,20200222,49200,374.0
CJ McCollum,Bradley Beal,Juan Toscano-Anderson,Nicolo Melli,Paul Millsap,Tomas Satoransky,Carmelo Anthony,Kyle Lowry,20200223,48800,402.0
Dennis Smith Jr,Donte DiVincenzo,DeAndre Hunter,Aaron Gordon,Jarrett Allen,Ricky Rubio,Khris Middleton,Joel Embiid,20200224,48800,402.0
Shai Gilgeous-Alexander,Coby White,Danny Green,Jerami Grant,Marquese Chriss,CJ McCollum,Giannis Antetokounmpo,Alex Caruso,20200225,49500,355.75
